Sex,Team,NOC,Games,Year,Season,City,Sport,Medal
M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Bronze
M,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Gold
M,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Gold
M,Great Britain,GBR,1948 Summer,1948,Summer,London,Hockey,Silver
M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Silver
M,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Silver
F,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Bronze
M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Equestrianism,Bronze
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,Gold
F,Sweden,SWE,1908 Summer,1908,Summer,London,Tennis,Bronze
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Gold
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Gold
M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Silver
F,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Gold
F,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Gold
F,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Bronze
F,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Bronze
M,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Bronze
M,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Gold
M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Gold
M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Silver
M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Gold
F,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Silver
F,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Bronze
F,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Bronze
M,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,Silver
M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Silver
F,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Silver
M,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Bronze
F,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Silver
F,Romania,ROU,1976 Summer,1976,Summer,Montreal,Rowing,Bronze
M,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Silver
F,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gold
F,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Bronze
M,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Bronze
M,Italy,ITA,2008 Summer,2008,Summer,Beijing,Rowing,Silver
M,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Gold
M,Stella-2,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Bronze
M,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Water Polo,Bronze
M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Water Polo,Silver
M,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Water Polo,Bronze
F,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Gold
F,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Gold
M,France,FRA,2012 Summer,2012,Summer,London,Swimming,Gold
M,France,FRA,2012 Summer,2012,Summer,London,Swimming,Gold
M,France,FRA,2012 Summer,2012,Summer,London,Swimming,Silver
F,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Gold
F,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Gold
M,United States-1,USA,2006 Winter,2006,Winter,Torino,Figure Skating,Silver
F,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Fencing,Gold
M,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,Gold
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,Bronze
M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,Silver
M,Italy,ITA,1948 Summer,1948,Summer,London,Fencing,Silver
M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Boxing,Bronze
M,"Large boat, Central Naval Prep School ""Poros""-1",GRE,1906 Summer,1906,Summer,Athina,Rowing,Gold
F,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gold
M,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Gold
F,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Gold
M,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Bronze
F,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Bronze
M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Bronze
F,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Silver
M,United States,USA,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Silver
M,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Gold
M,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Boxing,Bronze
M,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Bronze
F,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Bronze
M,Sweden,SWE,1924 Winter,1924,Winter,Chamonix,Curling,Silver
M,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Bronze
M,Finland,FIN,1924 Summer,1924,Summer,Paris,Wrestling,Silver
M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Wrestling,Silver
M,United States,USA,1948 Summer,1948,Summer,London,Rowing,Gold
M,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,Bronze
M,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Boxing,Silver
M,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Football,Bronze
M,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,Gold
M,Germany-1,GER,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Bronze
F,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Gold
F,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Silver
F,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Gold
M,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Bronze
M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Gold
M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Gold
M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Gold
M,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Bronze
M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Gold
M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Gold
M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Gold
M,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Silver
M,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Bronze
M,Lucky Girl-1,FIN,1912 Summer,1912,Summer,Stockholm,Sailing,Bronze
M,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,Silver
M,Finland,FIN,2006 Winter,2006,Winter,Torino,Ski Jumping,Silver
M,Mutafo,GER,1964 Summer,1964,Summer,Tokyo,Sailing,Silver
F,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Gold
M,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Gold
F,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Athletics,Silver
M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Silver
M,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Silver
F,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Silver
F,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Bronze
F,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Bronze
